Fecha;Temperatura_Media
2024-02-10;4,5670834
2024-02-11;9,475417
2024-02-12;11,083749
2024-02-13;11,8150015
2024-02-14;11,237918
2024-02-15;10,862916
2024-02-16;8,63375
2024-02-17;8,529582
2024-02-18;10,575417
2024-02-19;9,937917
2024-02-20;9,315
2024-02-21;10,398334
2024-02-22;5,9150004
2024-02-23;5,8545833
2024-02-24;9,512917
2024-02-25;8,19
2024-02-26;6,1649995
2024-02-27;6,8650002
2024-02-28;6,8858333
2024-02-29;6,694166
2024-03-01;6,6795826
2024-03-02;5,2149997
2024-03-03;8,10875
2024-03-04;7,477501
2024-03-05;6,7899995
2024-03-06;7,7983336
2024-03-07;6,460834
2024-03-08;6,1733327
2024-03-09;7,6420827
2024-03-10;8,621249
2024-03-11;8,567083
2024-03-12;10,073333
2024-03-13;10,8775
2024-03-14;11,169167
2024-03-15;12,112918
2024-03-16;14,102501
2024-03-17;14,312916
2024-03-18;15,8983345
2024-03-19;15,204583
2024-03-20;16,679585
2024-03-21;17,746252
2024-03-22;17,0025
2024-03-23;16,435831
2024-03-24;12,600417
2024-03-25;6,7733326
2024-03-26;8,387917
2024-03-27;10,775416
2024-03-28;7,8004165
2024-03-29;6,825416
2024-03-30;6,74625
2024-03-31;7,3712497
2024-04-01;8,72125
2024-04-02;12,071251
2024-04-03;13,0129175
2024-04-04;14,610835
2024-04-05;17,223333
2024-04-06;16,48375
2024-04-07;12,779584
2024-04-08;9,65875
2024-04-09;12,006667
2024-04-10;16,35042
2024-04-11;16,523333
2024-04-12;18,381666
2024-04-13;19,062918
2024-04-14;20,348335
2024-04-15;18,508753
2024-04-16;14,985836
2024-04-17;14,812919
2024-04-18;14,327502
2024-04-19;17,090002
2024-04-20;16,3525
2024-04-21;12,587916
2024-04-22;10,481667
2024-04-23;11,819167
2024-04-24;13,237918
2024-04-25;12,715
2024-04-26;11,223332
2024-04-27;10,5775
2024-04-28;11,650418
2024-04-29;12,177502
2024-04-30;9,954582
2024-05-01;9,89625
2024-05-02;12,023332
2024-05-03;15,662917
2024-05-04;15,694167
2024-05-05;15,371251
2024-05-06;15,219167
2024-05-07;16,8775
2024-05-08;19,190002
2024-05-09;21,331665
2024-05-10;21,354584
2024-05-11;21,179585
2024-05-12;20,667084
2024-05-13;15,965004
2024-05-14;13,808753
2024-05-15;13,1275
2024-05-16;14,7525015
2024-05-17;15,427502
2024-05-18;14,927501
2024-05-19;14,400417
2024-05-20;14,404584
2024-05-21;15,454586
2024-05-22;17,265
2024-05-23;19,512917
2024-05-24;21,390005
2024-05-25;21,68167
2024-05-26;22,700417
2024-05-27;23,379583
2024-05-28;25,950418
2024-05-29;26,092085
2024-05-30;22,237917
2024-05-31;19,829584
2024-06-01;20,14208
2024-06-02;21,417084
2024-06-03;23,956667
2024-06-04;26,348337
2024-06-05;27,704584
2024-06-06;26,74417
2024-06-07;20,09625
2024-06-08;19,731668
2024-06-09;16,760832
2024-06-10;17,65875
2024-06-11;17,565
2024-06-12;18,979586
2024-06-13;22,075417
2024-06-14;22,089998
2024-06-15;22,350416
2024-06-16;23,456667
2024-06-17;21,367083
2024-06-18;18,37542
2024-06-19;17,012918
2024-06-20;20,1025
2024-06-21;23,075417
2024-06-22;23,890001
2024-06-23;25,208754
2024-06-24;26,90042
2024-06-25;24,956667
2024-06-26;26,212921
2024-06-27;23,417082
2024-06-28;19,485836
2024-06-29;20,319168
2024-06-30;21,933748
2024-07-01;22,510834
2024-07-02;25,115004
2024-07-03;28,489998
2024-07-04;29,392082
2024-07-05;27,462915
2024-07-06;24,056665
2024-07-07;25,669168
2024-07-08;26,231668
2024-07-09;27,33375
2024-07-10;28,864998
2024-07-11;27,262917
2024-07-12;26,140005
2024-07-13;26,35042
2024-07-14;25,36917
2024-07-15;25,423332
2024-07-16;27,190002
2024-07-17;29,106667
2024-07-18;30,612915
2024-07-19;29,173334
2024-07-20;26,331665
2024-07-21;27,017084
2024-07-22;30,194168
2024-07-23;32,562916
2024-07-24;32,465
2024-07-25;30,746248
2024-07-26;31,502502
2024-07-27;31,573332
2024-07-28;29,944166
2024-07-29;30,940002
2024-07-30;30,725418
2024-07-31;30,037918
2024-08-01;28,833754
2024-08-02;29,033752
2024-08-03;30,504585
2024-08-04;31,329584
2024-08-05;30,948336
2024-08-06;30,896254
2024-08-07;30,871252
2024-08-08;32,110836
2024-08-09;31,910833
2024-08-10;31,3275
2024-08-11;30,4525
2024-08-12;26,67333
2024-08-13;24,9525
2024-08-14;23,477499
2024-08-15;26,208754
2024-08-16;28,325418
2024-08-17;28,317085
2024-08-18;27,421255
2024-08-19;28,98375
2024-08-20;27,840002
2024-08-21;29,231672
2024-08-22;28,95875
2024-08-23;28,883749
2024-08-24;27,054583
2024-08-25;27,235834
2024-08-26;28,435835
2024-08-27;28,662918
2024-08-28;23,673332
2024-08-29;22,281668
2024-08-30;21,979582
2024-08-31;23,31708
2024-09-01;24,292084
2024-09-02;23,535835
2024-09-03;21,065
2024-09-04;20,052502
2024-09-05;20,267082
2024-09-06;19,2775
2024-09-07;21,20875
2024-09-08;21,429586
2024-09-09;22,808752
2024-09-10;22,685835
2024-09-11;22,53375
2024-09-12;17,898333
2024-09-13;18,494165
2024-09-14;22,004583
2024-09-15;21,70875
2024-09-16;20,435833
2024-09-17;20,55667
2024-09-18;18,08375
2024-09-19;17,727499
2024-09-20;18,315
2024-09-21;18,381666
2024-09-22;18,10042
2024-09-23;16,367083
2024-09-24;17,942083
2024-09-25;19,054583
2024-09-26;16,329582
2024-09-27;14,385834
2024-09-28;16,231668
2024-09-29;19,475418
2024-09-30;20,348333
2024-10-01;20,919168
2024-10-02;19,487917
2024-10-03;18,010834
2024-10-04;19,050413
2024-10-05;20,206667
2024-10-06;17,15875
2024-10-07;14,881668
2024-10-08;16,242083
2024-10-09;14,321251
2024-10-10;13,260834
2024-10-11;16,171251
2024-10-12;16,256668
2024-10-13;16,967083
2024-10-14;16,637918
2024-10-15;17,185833
2024-10-16;13,194167
2024-10-17;12,173333
2024-10-18;15,227501
2024-10-19;14,708752
2024-10-20;15,100417
2024-10-21;15,929584
2024-10-22;15,150416
2024-10-23;15,400416
2024-10-24;14,029584
2024-10-25;9,012915
2024-10-26;8,454583
2024-10-27;12,8275
2024-10-28;14,24625
2024-10-29;14,350417
2024-10-30;14,190002
2024-10-31;14,233752
2024-11-01;13,2004175
2024-11-02;12,992084
2024-11-03;13,1275015
2024-11-04;13,194169
2024-11-05;13,644166
2024-11-06;12,583751
2024-11-07;11,594167
2024-11-08;11,519168
2024-11-09;11,329585
2024-11-10;11,919167
2024-11-11;9,08375
2024-11-12;6,4233336
2024-11-13;11,3566675
2024-11-14;12,5441675
2024-11-15;11,015
2024-11-16;11,114999
2024-11-17;12,2525
2024-11-18;10,921249
2024-11-19;11,48375
2024-11-20;10,044167
2024-11-21;11,169167
2024-11-22;10,692084
2024-11-23;11,685833
2024-11-24;13,723332
2024-11-25;7,269167
2024-11-26;6,877499
2024-11-27;6,9587502
2024-11-28;8,396251
2024-11-29;9,450417
2024-11-30;9,060834
2024-12-01;10,448333
2024-12-02;9,6525
2024-12-03;10,475416
2024-12-04;8,435833
2024-12-05;9,400416
2024-12-06;9,583751
2024-12-07;6,6504173
2024-12-08;5,015
2024-12-09;4,6733336
2024-12-10;5,2524996
2024-12-11;4,65875
2024-12-12;4,7941666
2024-12-13;3,4295833
2024-12-14;3,1274996
2024-12-15;3,6795833
2024-12-16;3,0629168
2024-12-17;5,067083
2024-12-18;9,131665
2024-12-19;5,1795835
2024-12-20;3,4525
2024-12-21;4,4504166
2024-12-22;6,660833
2024-12-23;7,035834
2024-12-24;8,875415
2024-12-25;6,9379163
2024-12-26;5,819166
2024-12-27;4,23375
2024-12-28;3,8670835
2024-12-29;3,1712496
2024-12-30;2,98375
